Activity Organiser/Facilitator (Active Ageing Centre) by Filos Community Services,"- Activity Organisers should ideally be able to commit weekly for at least 1 month - Activity Facilitators should be able to commit weekly for at least 3 months The main objectives of the Active Ageing programme is to: - Reverse frailty among the elderly through exercise; - Educate seniors on eating well by broadening their knowledge on nutrition and healthy food preparation; - Encourage mind stimulation through creative activities The beneficiaries are senior residents, who are 50 years and above and living in Kembangan-Chai Chee. They have been assessed by Filos to be suitable for the programmes."
Volunteer Admin & Ops support at Admiralty Medical Ctr by Yishun Community Hospital_4845873,"- Help guide patients and visitors to self-registration kiosk for registration. - Offer assistance to patients and visitors. - Escort assistance to patients on wheelchair. - Assist in paperwork filing and organisation. We will need the volunteer to help on Tues, Wed and Thurs from 8:30am to 5:30pm. There will be a one hour break for lunch. You can either sign up to help on all the days or once per week."
Guiding Hands Volunteer Programme - Roving Guide by SG Cares Volunteer Centre at Ang Mo Kio,"- Support & guide patients (e.g. elderly) to build up their digital literacy in the polyclinic/healthcare environment (e.g. use of self-help kiosks, telemedicine, HealthHub) - Assist patients with their appointment journey (e.g. wayfinding) - Assist in answering any general enquires - Proactively look out for anyone in need of help - Assist in social distancing measures, crowd control"
Vulnerable in Community (VIC) Befriender @Central Singapore Community Development Council by SG Cares Volunteer Centre @ Toa Payoh,"- Support Heartwarmers and Central Singapore CDC's efforts in befriending the Vulnerable in Community (VICs) in Toa Payoh East division at the Friday Weekly giveaway session. - These VICs include Cardboard Collectors, Tissue Paper Sellers and also Peddlers. *Suitable for Youth Corps Community Internship"
Vulnerable in Community (VIC) Befriender @Central Singapore Community Development Council by SG Cares Volunteer Centre @ Toa Payoh,"- Support Heartwarmers and Central Singapore CDC's efforts in befriending the Vulnerable in Community (VICs) in Toa Payoh East division at the Friday Weekly giveaway session. - These VICs include Cardboard Collectors, Tissue Paper Sellers and also Peddlers. *Suitable for Youth Corps Community Internship"
Crafting Session @ Lions Befrienders (Ghim Moh) #22DaysPassion by Social Gifting_7792347,"#NDP2022 #DoingGood #22DaysPassion We motivate, encourage and do simple craftwork with seniors staying in rental flats. By doing simple craftwork with them, we encourage them to step out of their home, away from the TV sets, to interact with other seniors. We also use these sessions to discuss things that are bothering them, motivate them and remind them of their strength. Over the months as we craft with them, they have demonstrated more confidence. Come join us and craft with them."
Community Outreach/Befriending @ Thye Hua Kwan by SG Cares Volunteer Centre at Geylang,"(Suitable for Youth Corps Community Internship - please indicate YCIS) 1. Community Outreach Identify seniors living within our service boundary who require support and recruitment of potential volunteers through door knocking. 2. Befriending Partner with seniors who are at risk of social isolation. Through weekly home visits, befrienders provide social support whilst monitoring their welfare and living environment. The aim is to help seniors age in place within the community and improve their well-being"
Volunteer for NKF by SG Cares Volunteer Centre at Clementi,"(Suitable for Youth Corps Community Internship) Have you ever wondered what goes on behind-the-scenes at the NKF dialysis centres? Or you would like to volunteer your time for a meaningful cause, especially during this challenging time? NKF would like to invite you to join them as a Volunteer Health Screener and safeguard the well-being of vulnerable kidney failure patients together! *Note: Locations are available via https://nkfs.org/contact-us/dialysis-centre-locations/ (address stated in this post is not the actual location for NKF)"
'Growing Our Young' Resourcer (Fundraising Project Planning in 2022) by SG Cares Volunteer Centre at Clementi,(Suitable for Youth Corps Community Internship) SHINE Children and Youth Services is looking for individual volunteers and organisations to propose/co-create volunteer-driven fundraising projects for their beneficiaries.
Volunteers to assist Seniors with ad-hoc requests by SG Cares Volunteer Centre at Geylang,"* Support the ad-hoc needs of seniors living in MacPherson division, including companion care, medical escorts, letter reading & calling for assistance * Volunteers need to have a smartphone to register on an app (using Singpass), receive the volunteering requests & select which request(s) that they would like to support (More details will be provided end-July)"
Befriender with Thye Hua Kwan #NDP2022 #DoingGood #22DaysPeople by SG Cares Volunteer Centre at Bedok,"*Suitable for Youth Corps Community Internship - Provide social and psycho-emotional support for elderly - Aims to help elderly age in place, relieve loneliness and improve their quality of life and well-being - Reduce social isolation - Identify other areas of need and inform respective staff"
Medical Escort Volunteering #NDP2022 #DoingGood #22DaysPeople by SG Cares Volunteer Centre at Bedok,"*Suitable for Youth Corps Community Internship Seniors have medical appointments to go for, however, they might be unfit to travel on their own. Caregivers may be working and are unable to accompany seniors to their appointments. As such, these seniors need escorts with getting to and back from their medical appointments to ensure that they are safe along the way. Appointments fall on weekdays, daytime"
Befriender #NDP2022 #DoingGood #22DaysPeople by SG Cares Volunteer Centre at Bedok,*Suitable for Youth Corps Community Internship SG Cares Volunteer Centre at Bedok is looking for volunteers who are interested to be befrienders and encourage elderly residents to exercise for a Nursing Home.
Volunteers for Community Telehealth Service by EoT Technologies by SG Cares Volunteer Centre at Clementi,"*Suitable for Youth Corps Internship Scheme* Community Telehealth Service (CTS) was founded during the COVID-19 pandemic by a group of students from NTU. We aspire to co-shape community healthcare through telehealth booths equipped with innovative health technologies located within our common spaces and an active health monitoring program to improve health access and social support. EOT TECHNOLOGIES PTE LTD is a spinoff social enterprise to build on CTS for long-term health impact. Growing health issues is a universal burden. We help people live better and build resilience through active healthcare monitoring and early intervention. Anchored in our values of Health, Teamwork, and Care for People, we believe in working and playing, not just as a team, but as a family. We are on the lookout for volunteers with a keen interest to transform healthcare systems from the ground up with us."
Volunteer Mentor @ Youth Guidance Outreach Services by SG Cares Volunteer Centre at Geylang,"*Volunteer Mentor with befriending skills *Able to mentor youths who are Secondary school students *Volunteers required: Students from tertiary education, Adults (Suitable for Youth Corps Community Internship Scheme - please indicate YCCS)"
Community Impact Co-Designers (Corporate Group Volunteers) by Students Care Service,"@ Pls sign up at https://www.shine.org.sg/volunteer SHINE Children and Youth Services is a registered charity and a member of National Council of Social Service. We have been serving vulnerable children, youth and their families in Singapore since 1976 and remain committed to enabling them to maximise their potential. SHINE builds and enhances the resilience under-resourced, at-risk and vulnerable children, youth and their families, serving around 5,000 students, aged 5-21 years old, each year"
[SSO@QTJECL] Volunteer @ Queenstown/Jurong East/Clementi,"[UPDATE: The slots have been filled, but you may still register via this linkand indicate your interest to volunteer with our cluster.]Social Service Office @ Queenstown, Jurong East, Clementi is looking for volunteers to join us for various volunteering opportunities in our cluster.Volunteering opportunitiesBefriending the vulnerable-in-community such as tissue sellers and rough sleepersOutreach to families living in rental blocksAd-hoc one-off opportunities: sports-related activities, virtual projects, distribution of food, etc.We offer volunteer induction and training to ensure volunteers are equipped with relevant skill-sets.As much as volunteering with us will benefit the residents and community that needs your support, it provides an opportunity for you to develop new skills and to build on existing ones."
"Befriender, Community Outreach & Activity Organiser/Facilitator for Kwong Wai Shiu Care @ MacPherson by SG Cares Volunteer Centre at Geylang","1) Befriender - Conduct home visits to homebound & frail seniors and befriend them - Maintain social interaction & manage their psychological well-being - Prevent deterioration from their current mental health - Report to the staff if there's any urgent matters or clarifications 2) Community Outreach - Reach out to seniors within our cluster who're unsure of where to get help & introduce services eg. assisted living/referrals to them 3) Activity Organiser/Facilitator - Facilitate programs eg. a wide range of exercises, handicraft, music sessions, social recreational activities for the seniors to engage them to be active in their retirement age"
Housecleaning/Outreach Volunteers & Befrienders @ Sathya Sai Social Service by SG Cares Volunteer Centre at Geylang,"1. Housecleaning Volunteer * Assist seniors to springclean & declutter their home, and maintain a clean & safe living environment * Maintain general level of hygiene in the senior's household through decluttering and cleaning * Feedback about the senior's needs and household cleanliness * Provide companionship and befriend seniors through the process 2. Outreach Volunteer * Conduct door-knocking at Eunos Crescent to share with seniors about the centre's programmes * Conduct basic demographic information gathering of seniors * Share about Tembusu Eldercare Services' programmes & initiatives * Volunteer briefing and talking points will be provided, together with distribution flyers 3. Befriending * Engage with seniors to ensure and enhance their well-being * Connect and engage with service users physically at centre/through home vists * Conduct activities to engage seniors, depending on their interests * Encourage senior to participate in healthy living and active ageing activities * Pen down "
Caring hearts program for seniors from Nam Hong Welfare Service Society by SG Cares Volunteer Centre at Yishun town,"3 different volunteering opportunities to help seniors: - Home visits - Random ration distribution - Monthly food distribution For students referred by your institutions, please register your interest for this volunteering opportunity via this form: https://tinyurl.com/SGVCYSch Suitable for Youth Corps Community Internship"
